Consumer complaint narrative,Product,len
Ditech is illegally foreclosing on my home.,Mortgage,43
I am  XXXX  and do n't think I owe this.,Debt collection,40
The university I attended closed,Student loan,32
Overlimit fee paid without my consent or opt in.,Credit card,48
This was paid last year in full.,Debt collection,32
this account was paid in full,Credit reporting,29
"Called, left no voice messageUnknown Caller",Debt collection,43
I dont owe money to this company.,Debt collection,33
Credit report is still the same,Credit reporting,31
They said the ss number belongs to me,Credit reporting,37
"Violation of mortgage. 
Mortgage FRAUD",Mortgage,38
This is not my account,Bank account or service,22
Not familiar whit this account,Debt collection,30
My insure pay oh ready the full amount ....!!!,Debt collection,46
They would not remove by order of state of Utah.,Credit reporting,48
I never lived in North Carolina,Credit reporting,31
Experian has not removed issue.,Credit reporting,31
XXXX Has called my home more than a dozen times,Debt collection,47
Tax liens have been released.,Credit reporting,29
Transunion has reinserted unverifiable accounts.,Credit reporting,48
I lost my job,Mortgage,13
Did not try to call me to fix problem.,Debt collection,38
My identification stole,Credit reporting,23
I have no knowledge of this dept,Debt collection,32
This debt has been paid in full,Debt collection,31
It shows i have not paid the bill but i have,Credit reporting,44
its been XXXX and no answer,Credit reporting,27
Applied for a loan but lost my job afterwards.,Consumer Loan,46
Furnished unverfied reports to credit profile.,Debt collection,46
THEIR WEBSITE IS NOT WORKING,Credit card,28
could n't pay its charged off,Consumer Loan,29
Does not belong to me.,Debt collection,22
No knowledge of said debt.,Debt collection,26
I do not know this company or its issue with me.,Credit reporting,48
PIN CRED SERXXXX XXXX 2013Closed {$820.00},Debt collection,42
"Placed debt on my credit, does not belong to you.",Debt collection,49
no verification nor not enough information,Debt collection,42
Filed the following letters in no response,Credit reporting,42
Debt was paid to delete from credit bureaus,Debt collection,43
never got account open,Debt collection,22
This is not my debt.,Debt collection,20
DEBT WAS NOT DELETED ONCE PAID AS AGREED UPON,Debt collection,45
Visa gift card scam.,Prepaid card,20
fradulent,Bank account or service,9
I was never aware of this debt and demand proof,Debt collection,47
BBT has a hold on my account for no reason.,Bank account or service,43
school closed while I was attending,Student loan,35
I do not know of this collection.,Debt collection,33
high interest rates. daily accruement is high,Student loan,45
A new loan has been created.,Mortgage,28
unauthorized inquiry on credit reports,Credit reporting,38
i have a loan from XXXX showing its false,Credit reporting,41
I have no knowledge of said debt.,Debt collection,33
i was unaware that i owed anything GM Financial,Debt collection,47
can not accesss free report,Credit reporting,27
What my credit is stating I owe is incorrect.,Student loan,45
Wrong name and address on reports ...,Credit reporting,37
all of the bad reports are over 10 years old!,Credit reporting,45
letters and phone calls with no verification,Debt collection,44
my mortage co will not work withme,Mortgage,34
Debt amount is incorrect.,Credit reporting,25
This has been disputed but no response as of yet.,Credit reporting,49
Called and made threats,Debt collection,23
I have no knowledge of said debt.,Debt collection,33
No knowledge of said debt.,Debt collection,26
Remove credit data past 7 years per law.,Credit reporting,40
I do not have proof this is my debt.,Debt collection,36
Unauthorized inquiry and/or unknown company,Credit reporting,43
Constant calls every day 2 or 3 times a day,Debt collection,43
THis is not mine,Debt collection,16
Account is time barred.,Debt collection,23
Unauthorized inquiry and/or unknown company,Credit reporting,43
Property taxes were not paid via escrow on time.,Mortgage,48
Need debt verified or removed from credit report.,Debt collection,49
i have never been late as shown on transunion.,Credit reporting,46
The debt was paid through medical coverage!,Debt collection,43
I have a problem getting my annual report.,Credit reporting,42
Account was verified,Credit reporting,20
they charged me overdraft fees a bunch of times,Bank account or service,47
i have nothing to do with this accont.,Credit card,38
No verifications of contracts or signature XXXX,Credit reporting,47
XXXX account XXXX does not belong to me,Credit reporting,39
XXXX error from trans union no report recieved,Credit reporting,46
Threatened to take legal matters to county clerk.,Debt collection,49
unauthorized inquiries on credit report,Consumer Loan,39
This debt is not mine,Debt collection,21
Public Service Employee Loan is predatory,Student loan,41
I was XXXX at the time when this debt occurred,Debt collection,46
Why was my Account Disabled?,Mortgage,28
"I have been a victim if inquiry issue,",Credit reporting,38
Calls XXXX Sunday morning for weeks,Debt collection,35
I never open an account with this company.,Debt collection,42
i have open apartment debts i never lived in,Credit reporting,44
cant get my cr report,Credit reporting,21
could not get reports,Credit reporting,21
Receive numerous phone calls. I have no debt.,Debt collection,45
fraudelent inquiry. identity theft,Credit card,34
Navient incorrectly placed lates on my credit.,Student loan,46
These are not my debts,Credit reporting,22
XXXX paid off on time.,Credit reporting,22
There is a hard inqu. that i did not authorize.,Credit reporting,47
It is being paid off and still in the report,Debt collection,44
"VIOLATION OF FDCPA, TCPA AND DODD-FRANK ACT",Debt collection,43
I am submitting a formal complaint about Experian,Credit reporting,49
This Penn Credit invoice sent to me is not mine,Debt collection,47
Bank has my money on hold and wo n't release it.,Bank account or service,48
my social security its wrong,Credit reporting,28
This inquiry was not me,Credit card,23
they charged me for something that I did n't do,Credit card,47
I do not have a sears card,Credit card,26
There is wrong information in Transunion report,Credit reporting,47
This does not belong to me.,Debt collection,27
Someone else is trying to be me n using my info,Credit reporting,47
Had to call 3 times to get my account closed.,Credit card,45
I have never had XXXX ins,Debt collection,25
Debt was included in bankruptcy.,Debt collection,32
This isnt my debt,Debt collection,17
XXXX account fraudulently opened in my name,Debt collection,43
Southwest Credit XXXX continues to harass me,Debt collection,44
Someone stoled my Identity.,Credit reporting,27
Failed to send verification. Very demeaning,Debt collection,43
This is not my debt.,Credit reporting,20
debt is paid in full,Debt collection,20
The information is from my father 's accounts.,Credit reporting,46
Name is incorrect on report,Credit reporting,27
Fraudulent action to freeze account,Bank account or service,35
All items on report are not mine.,Credit reporting,33
Old debt,Debt collection,8
Did n't withdraw money from my account,Bank account or service,38
I settled it do not know why I have remainG debt,Debt collection,48
Cancelled debt but failed to reconvey the lien,Mortgage,46
Is not my loan and amount is not mine,Debt collection,37
I have several accounts that do not belong to me,Credit reporting,48
Addresses and most of the accounts are not mine.,Credit reporting,48
Non-Response from Documents supplied,"Credit reporting, credit repair services, or other personal consumer reports",36
i did not authorize this inquiry : XXXX,Credit reporting,39
""" Contract was cancelled '' "" NO CONTRACT ''",Debt collection,44
card expired so I requested a new card.,Credit card,39
never lived in texas,Credit reporting,20
I 'm A victim of identity theft.,Credit reporting,32
unauthorized inquiry on my report,Credit reporting,33
They are trying to collect a debt I do not owe.,Debt collection,47
"I HAVE PAID MY CAR LOAN. 
I DO N'T OWE.",Consumer Loan,39
"Repeated calls from XXXX from XXXX, and XXXX.",Debt collection,45
This debt is not known to me,Debt collection,28
bank accounts are tampered.,Bank account or service,27
loan payed off and want escrow refunded,Mortgage,39
credit report is wrong,Debt collection,22
citi will not refund credit due me.,Credit card,35
the site keeps saying my ssn doesnt match,Credit reporting,41
Please see attached.,Credit reporting,20
Forgive and bail out the students.,Student loan,34
Excessive fees added to the loan.,Mortgage,33
All I know is this is on my credit,Debt collection,34
Charged off accountDue to a bank error,Bank account or service,38
Please remove from my credit report.,Credit card,36
I am a victim of idenity theft.,Credit reporting,31
They call my job every day 2 and 3 times a day.,Debt collection,47
Sent letters. no response,Credit reporting,25
I was lied to about the credit check process,Consumer Loan,44
Unauthorized inquiry and/or unknown company,Credit reporting,43
Transunion is taking to long to send results.,Credit reporting,45
Closed since 1985,Credit reporting,17
Pulled credit report without permission.,Credit card,40
failure to provide an XX/XX/XXXX statement.,Mortgage,43
Synchrony information sharing practices,Consumer Loan,39
Please see the attached PDF.,"Credit reporting, credit repair services, or other personal consumer reports",28
Paid in full and is saying it was never paid,Consumer Loan,44
Refused to provide validation of debt.,Debt collection,38
I have been paying on a student loan since  2004,Student loan,48
90 day Late payment by cap ital one a uto finance,"Credit reporting, credit repair services, or other personal consumer reports",49
this is not mine,Debt collection,16
"trans union reporting late pymts, i",Credit reporting,35
I do n't what come from,Debt collection,23
UNAUTHORIZED INQUIRY 'S ON CREDIT REPORT,"Credit reporting, credit repair services, or other personal consumer reports",40
Attached Memo,Mortgage,13
UNAUTHORIZED INQUIRY 'S ON CREDIT REPORT,"Credit reporting, credit repair services, or other personal consumer reports",40
UNAUTHORIZED INQUIRY 'S ON MY CREDIT REPORT,"Credit reporting, credit repair services, or other personal consumer reports",43
UNAUTHORIZED INQUIRY 'S ON MY CREDIT REPORT,"Credit reporting, credit repair services, or other personal consumer reports",43
UNAUTHORIZED INQUIRY 'S ON MY CREDIT REPORT,"Credit reporting, credit repair services, or other personal consumer reports",43
UNAUTHORIZED INQUIRY 'S ON CREDIT REPORT,"Credit reporting, credit repair services, or other personal consumer reports",40
Lvnv recei ved an certified letter and received.,Debt collection,48
It 's been paid in full,Credit reporting,23
this is not a valid account,"Credit reporting, credit repair services, or other personal consumer reports",27
this is not a valid account,"Credit reporting, credit repair services, or other personal consumer reports",27
BANK FAILED TO ACTIVATE THE INSURANCE,Debt collection,37
I paid this debt off but it still showing up.,Debt collection,45
Capital  one {$10000.00},"Credit reporting, credit repair services, or other personal consumer reports",24
"birth year is wrong, i was born in   XXXX","Credit reporting, credit repair services, or other personal consumer reports",41
"birth year is wrong, i was born in   XXXX","Credit reporting, credit repair services, or other personal consumer reports",41
Company admitted to calling me 191 times.,Debt collection,41
"Debt was wrote off, Time barred Debt.",Debt collection,37
No access to my account or my money,Prepaid card,35
i believe this account is not even belong to me,"Credit reporting, credit repair services, or other personal consumer reports",47
FRAUDULENT ACCOUNTS BEING REPORTED.,Debt collection,35
i believe this account is not even belong to me,"Credit reporting, credit repair services, or other personal consumer reports",47
"I have never lived at XXXX, TX XXXX",Credit reporting,35
i ask for proof and only sent me a bill.,Debt collection,40
I can not get my credit report from experian,"Credit reporting, credit repair services, or other personal consumer reports",44
furnished unverified account,Debt collection,28
FURNISHING FALSE REPORTS TO CREDIT BUREAU 'S,Debt collection,44
WITHDRAWAL OF FEDERAL LIEN,"Credit reporting, credit repair services, or other personal consumer reports",26
I pay company they have not remove {$30.00},Debt collection,43
this is not a valid account,"Credit reporting, credit repair services, or other personal consumer reports",27
poor customer service and poor account treatment,Bank account or service,48
{$35.00} Refund due.  Amazon  refuses.,"Money transfer, virtual currency, or money service",38
They completely ignored my concerns.,"Credit reporting, credit repair services, or other personal consumer reports",36
They completely ignored my concerns.,"Credit reporting, credit repair services, or other personal consumer reports",36
i believe this account is not even belong to me,"Credit reporting, credit repair services, or other personal consumer reports",47
The information was closed and reversed,Credit reporting,39
REPORTING DEBT THATS NOT AUTHORIZED OR VALIDATED.,Debt collection,49
I did n't know about this situation.,Debt collection,36
Unverified account on credit report,"Credit reporting, credit repair services, or other personal consumer reports",35
Disputed account and they have not removed it,Credit reporting,45
I can not get my credit report from equifax,"Credit reporting, credit repair services, or other personal consumer reports",43
Ditech performed an unauthorized ACH transaction.,Mortgage,49
Name is incorrect.,Credit reporting,18
Called outside legal hours,Debt collection,26
Make payments and the principle does n't go down.,Student loan,49
They are charging me astronomical late fees.,Consumer Loan,44
Debt was covered by insurance company,Debt collection,37
incorrect information,Credit reporting,21
not mine insurance paid,Debt collection,23
This judgement was dismissed in XXXX of 2015,Credit reporting,44
I have no knowledge of said debt.,Debt collection,33
I have no knowledge of this dept,Debt collection,32
"XXXX acct was closed, now its bk on cr rept",Credit reporting,43
Have n't received any direct deposits in 4 weeks,Prepaid card,48
Constant harassment & threats.,Consumer Loan,30
Settlement paid but still shows not paid.,Debt collection,41
XXXX charges were after equipment was returned,Credit reporting,46
daily calls,Debt collection,11
Never had XXXX,Credit reporting,14
Unauthorized inquiry and/or unknown company,Debt collection,43
I am submitting a formal complain t about Equifax,Credit reporting,49
This debt is not known to me,Debt collection,28
This account debt is not mine,Debt collection,29
My name is misspelled over XXXX times,Credit reporting,37
Called once at XXXX and again,Debt collection,29
constant robo calling,Debt collection,21
This account was paid in full.,Debt collection,30
capitol one credit has me listed as deceased,Credit card,44
Can not remove fraud alert.,Credit reporting,27
Unauthorized Inquiry,Credit reporting,20
Denied a Harp,Mortgage,13
Insufficient Funds Fee charge too much ...,Bank account or service,42
Not reporting positive Credit Card Payments.,Credit reporting,44
Was unaware of debt until requested credit report,Debt collection,49
Paypal froze my account,Bank account or service,23
This phone number called 13 times today alone.,Debt collection,46
unverified account,Credit reporting,18
XXXX names that are not mine on report,Credit reporting,38
Unauthorized inquiry and/or unknown company,Debt collection,43
they are calling numerous times a day.,Debt collection,38
I never uses the name XXXX XXXX,Credit reporting,31
Information wrong in my Report Please check.,Credit reporting,44
unfamiliar with the inquiry,Credit reporting,27
Debt is n't mine.,Debt collection,17
the debt was payed off,Debt collection,22
Reporting deliquent before 30days is up,Consumer Loan,39
Unethical and discriminatory lending criteria.,Mortgage,46
Im trying to get my free credit report and i cant,Credit reporting,49
"I ca n't pay, too high interest.",Payday loan,32
CBNA inquiries that are not mine.,Credit reporting,33
bank has not tried to modified my mortgage,Mortgage,42
I have no knowledge of this debt,Debt collection,32
Account not verified properly.,Credit reporting,30
I have no knowledge of this acct.,Debt collection,33
failure to send a XXXX mortgage statement.,Mortgage,42
This account is not mine,Debt collection,24
It is giving a XXXX name on my report.,Credit reporting,38
amount was XXXX and attempted to collect XXXX,Debt collection,45
Company has failed to respond within 30 days,Credit reporting,44
"false information, this collection it 's not mine",Debt collection,49
will not remove,Debt collection,15
Called and no one was able to help me,Student loan,37
I 'm victim of identity theft,Debt collection,29
I need help,Credit reporting,11
Cant pay my loan back,Student loan,21
Suspected Fruad ; unlawful interest & charges,Student loan,45
see upload letter please. Thank you.,Consumer Loan,36
I have never had an employer named XXXX XXXX,Credit reporting,44
card acct was activated w/o consent,Credit card,35
They called after XXXX and left a message..,Debt collection,43
Someone obtained a loan using my SS #,Debt collection,37
I do n't own a XXXX phone at all,Credit reporting,32
Wells Fargo turned me down for a car loan.,Consumer Loan,42
XXXX account XXXX does not belong to me,Credit reporting,39
Repeated calls,Debt collection,14
Current account balance/s incorrect.,Student loan,36
Several names on report are not mine!,Credit reporting,37
no verification of signature or contract,Credit reporting,40
XXXX to XXXX phone calls a day XXXX days a week,Debt collection,47
Forced placed insurance,Mortgage,23
I can not access my Crdit report or scores..,Credit reporting,44
Theatened us with jail time if we do n't pay.,Debt collection,45
Equifax refuses to let you speak to a supervisor,Credit reporting,48
I am XXXX not XXXX please fix,Credit reporting,29
I am not able to make a mobile check deposit.,Bank account or service,45
Amount paid in full.,Bank account or service,20
I have no knowledge of said debt.,Debt collection,33
"Bankruptcy is over 10 years old, please remove.",Credit reporting,47
customer service associate was horribly rude.,Credit card,45
Incorrect addresses on both agency 's reports.,Credit reporting,46
My information was shared to a third party.,Debt collection,43
The address listed is not mine,Credit reporting,30
Lien was paid in full in 2009 and released.,Credit reporting,43
Credit card reduction in benefits,Credit card,33
Judgment against me I was not served,Debt collection,36
Loss job and was unable to pay mortgage.,Mortgage,40
I have not received money from Rushcard,Prepaid card,39
Equifax refuses to transfer me to a supervisor,Credit reporting,46
Pulled credit report without permission.,Credit card,40
Interest and payments are too high.,Student loan,35
This credit derogatory mark is not mine,Credit reporting,39
I have never opened an account with Home at five,Debt collection,48
They added more fake charges against my credit,Debt collection,46
Usaa. Debt collection tactics with XXXX,Debt collection,39
I do n't know about this debt,Debt collection,29
Calling my Job and being very harrasing,Debt collection,39
Judgment added/reported while on XXXX.,Credit reporting,38
I do not owe this company money!!!!!,Debt collection,36
Debt is n't mine.,Debt collection,17
There were fraudulent charges on my credit card.,Credit card,48
I have no knowledge of this account,Bank account or service,35
I did not apply for chase Credit card,Credit card,37
SOMEONE USE MY INFORMATION. THIS ISNT MY ACCOUNT.,Credit reporting,49
Trying to complete load modification,Mortgage,36
multiple unauthorized inquiries on report,Credit reporting,41
Mortgage company will not modify loan,Mortgage,37
Wrong SS number,Credit reporting,15
zip. they keep reinserting incorrect info.,Credit reporting,42
VIOLATED FCRA,Debt collection,13
Account is time barred.,Debt collection,23
EQUIFAX reporting information not mine.,Credit reporting,39
There is incorrect info down on my report.,Credit reporting,42
Unauthorized inquiry and/or unknown company,Credit reporting,43
Keep calling after submitted paid in full payment,Debt collection,49
I have a problem getting my free annual report.,Credit reporting,47
Equifax will not deal with me by phone,Credit reporting,38
"Back to back calls about a "" legal matter ''",Debt collection,44
This debt is for a college that I never attended.,Debt collection,49
the credit is wrong. please correct my report,Credit reporting,45
Endless threats to take my vehicle away,Consumer Loan,39
No it 's my hard inquiries,Credit reporting,26
A collection on my report needs to be removed.,Credit reporting,46
Charged wrong amount,Debt collection,20
Repeated calls and unwarranted contact,Debt collection,38
Never ever have I had XXXX in my name,Debt collection,37
My yonger sister bad credit is on my credit.,Credit reporting,44
I DO N'T KNOW ABOUT THIS DEBT.,Debt collection,30
Credit score and report will not come up,Credit reporting,40
I do not know what is this bill for?,Debt collection,36
My XXXX was recorded wrong.,Credit reporting,27
INQUIRY WAS NOT REMOVED,Credit reporting,23
I DO N'T KNOW WHERE THIS DEBT IS COMING FROM.,Debt collection,45
PNC bank is falsely submitting overdraft fees,Bank account or service,45
Having an issue with collection practices.,Consumer Loan,42
the person calls every 2 hours during the day,Debt collection,45
never lived in XXXX ms,Credit reporting,22
Experian gave my annual report to someone else,Credit reporting,46
Unauthorized inquiries causing hard hits,Credit reporting,40
I paid back the loan ( TWICE ),Debt collection,30
There keep calling me.,Debt collection,22
Untimely response to the Mortgage pay-off request,Mortgage,49
I was n't able to view my free credit reports.,Credit reporting,46
I never received any material from this company,Debt collection,47
I need to get on a payment plan to remove my debt,Debt collection,49
I have been reported as dead,Credit card,28
Calling a household in which I never lived,Debt collection,42
never received my report,Credit reporting,24
Charged illegal interest rate of over 500 %.,Payday loan,44
was included in bankruptcy and should be closed,Bank account or service,47
Account was paid as agreed. I was never late.,Consumer Loan,45
My credit and identify was stolen,Debt collection,33
re-aging a debt so it remains in my credit file,Debt collection,47
Unauthorized inquiry and/or unknown company,Credit reporting,43
I was approached by us bank about a student loan,Bank account or service,48
The last payment made on this Account was XXXX,Consumer Loan,46
Chase denied credit card application by mistake.,Credit card,48
false info from XXXX cancelled deal.,Credit reporting,36
This account was paid in full.,Debt collection,30
Unauthorized inquiry and/or unknown company,Debt collection,43
Did not apply for a credit card with this company,Credit reporting,49
Victim of Identity Theft,Credit reporting,24
Paid / no longer valid,Debt collection,22
calling my family members,Debt collection,25
My current address is wrong.,Credit reporting,28
Multiple calls before XXXX XXXX in my time zone,Debt collection,47
This debt to XXXX is not mine.,Debt collection,30
Excess interest on student loan,Student loan,31
Overdraft charges with my bank chase bank.,Bank account or service,42
I have no knowledge of said debt.,Debt collection,33
Please remove all items from my credit report,Credit reporting,45
this wasnt me,Debt collection,13
Debt is n't mine.,Debt collection,17
"Used foul, and obscene language",Debt collection,31
I have been charged a lot a fees.,Student loan,33
My credit report contains my parents information,Credit reporting,48
I filed Chapter XXXX bankruptcy.,Credit reporting,32
Navient refuses to update my credit report.,Student loan,43
Unauthorized inquiry and/or unknown company,Credit reporting,43
"50 % interest is against the law, is it not???",Consumer Loan,46
A wrong address in XXXX. Not mine,Credit reporting,33
account paid in full but reported as a charge off,Credit reporting,49
I put money on a card and she took my money,Prepaid card,43
I was called at XXXX,Mortgage,20
is not me,Debt collection,9
I HAVE NO KNOWLEDGE OF THIS DEBT.,Debt collection,33
cant get though on their phone,Credit reporting,30
I file bankruptcy this was included,Credit reporting,35
Someone is in my account,Credit reporting,24
asked to remove inquiries off my report,Credit reporting,39
Unauthorized inquiry and/or unknown company,Credit reporting,43
Pulled credit report without permission,Consumer Loan,39
Do not know where this supposed debt originated,Debt collection,47
I was n't able to view my free credit reports.,Credit reporting,46
I never lived in XXXX,Credit reporting,21
My insurance company already paid the bill,Debt collection,42
I have sent numerous letters with no response.,Credit card,46
Dispute late payment on BMW lease account.,Consumer Loan,42
XXXX on creditor XXXX is not mine,Debt collection,33
Victim of identity theft,Credit card,24
High payments each month ca n't repay my loan,Student loan,45
Repeated phone calls at least XXXX times a day.,Debt collection,47
"false information, this collection it 's not mine",Debt collection,49
I have no knowledge of said debt.,Debt collection,33
PMI insurance should be coming off loan,Mortgage,39
all public liens were paid,Credit reporting,26
Refuse to investigate credit inquiries,Credit reporting,38
Never lived in MD,Credit reporting,17
This is incorrect information not mine.,Debt collection,39
This debt is not mine I am a victim of ID theft,Debt collection,47
I did not authorized this hard inquiry,Credit reporting,38
I have an account that twice in my credit report,Debt collection,48
I have disputed over and over.,Credit reporting,30
Lien paid in 2009. Not being reported as paid,Credit reporting,45
they will not tell me who the debt is with,Debt collection,42
"Identity theft/ XXXX, XXXX, XXXX.",Credit reporting,33
This debt was paid in full XXXX XXXX,Debt collection,36
My sisters information is on my report.,Credit reporting,39
Did not get my sky miles,Credit card,24
Constantly calling all hours of the day and night,Debt collection,49
They are calling and harassing me at my work.,Debt collection,45
I have never had an XXXX account.,Credit reporting,33
They cal upwards of 15 times a day.,Debt collection,35
The debt had been fully paid to XXXX,Debt collection,36
I do n't know about this debt,Debt collection,29
